date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:31:53	29006/29006	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20May%202021%2003:37:27%20GMT	https://preview.colorlib.com/theme/universityedu/index.html	D:/CT5/preview.colorlib.com/theme/universityedu/index.html	(from )
04:31:54	34/34	---MCZ	200	added ('OK')	text/plain	etag:W/%22e-5c01b2e3a6ac3-br%22	https://preview.colorlib.com/robots.txt		(from )
04:31:54	598/598	---M--	200	added ('OK')	image/png	etag:%22256-5c26a8cefb7b3%22	https://preview.colorlib.com/theme/universityedu/assets/img/icon/favicon.png	D:/CT5/preview.colorlib.com/theme/universityedu/assets/img/icon/favicon.png	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:31:54	153111/153111	---M-Z	200	added ('OK')	text/css	etag:%2225617-5c26a57086b45-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/css/bootstrap.min.css	D:/CT5/preview.colorlib.com/theme/universityedu/assets/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:31:55	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22b78-5c26a574554dc-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/css/owl.carousel.min.css	D:/CT5/preview.colorlib.com/theme/universityedu/assets/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:31:55	5732/5732	---M-Z	200	added ('OK')	text/css	etag:%221664-5c26a5727ab30-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/css/slicknav.css	D:/CT5/preview.colorlib.com/theme/universityedu/assets/css/slicknav.css	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:31:55	56048/56048	---M-Z	200	added ('OK')	text/css	etag:%22daf0-5c26a5723f212-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/css/animate.min.css	D:/CT5/preview.colorlib.com/theme/universityedu/assets/css/animate.min.css	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:31:55	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5c26a5714a03c-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/css/magnific-popup.css	D:/CT5/preview.colorlib.com/theme/universityedu/assets/css/magnific-popup.css	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:31:56	58882/58882	---M-Z	200	added ('OK')	text/css	etag:%22e602-5c26a573372c8-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/css/fontawesome-all.min.css	D:/CT5/preview.colorlib.com/theme/universityedu/assets/css/fontawesome-all.min.css	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:31:56	16452/16452	---M-Z	200	added ('OK')	text/css	etag:%224044-5c26a5741ab5f-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/css/themify-icons.css	D:/CT5/preview.colorlib.com/theme/universityedu/assets/css/themify-icons.css	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:31:56	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-5c26a57195359-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/css/slick.css	D:/CT5/preview.colorlib.com/theme/universityedu/assets/css/slick.css	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:31:56	4007/4007	---M-Z	200	added ('OK')	text/css	etag:%22fa7-5c26a57371c46-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/css/nice-select.css	D:/CT5/preview.colorlib.com/theme/universityedu/assets/css/nice-select.css	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:31:57	103085/103085	---M-Z	200	added ('OK')	text/css	etag:%22192ad-5c26a5752b2b3-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/css/style.css	D:/CT5/preview.colorlib.com/theme/universityedu/assets/css/style.css	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:31:57	3330/3330	---M--	200	added ('OK')	image/png	etag:%22d02-5c26a8c8bbe35%22	https://preview.colorlib.com/theme/universityedu/assets/img/logo/logo.png	D:/CT5/preview.colorlib.com/theme/universityedu/assets/img/logo/logo.png	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:31:57	26028/26028	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20May%202021%2003:37:28%20GMT	https://preview.colorlib.com/theme/universityedu/about.html	D:/CT5/preview.colorlib.com/theme/universityedu/about.html	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:31:58	20708/20708	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20May%202021%2003:37:29%20GMT	https://preview.colorlib.com/theme/universityedu/programs.html	D:/CT5/preview.colorlib.com/theme/universityedu/programs.html	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:31:58	35153/35153	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20May%202021%2003:37:28%20GMT	https://preview.colorlib.com/theme/universityedu/blog.html	D:/CT5/preview.colorlib.com/theme/universityedu/blog.html	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:31:58	24978/24978	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20May%202021%2003:37:30%20GMT	https://preview.colorlib.com/theme/universityedu/blog_details.html	D:/CT5/preview.colorlib.com/theme/universityedu/blog_details.html	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:31:59	43340/43340	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20May%202021%2003:37:31%20GMT	https://preview.colorlib.com/theme/universityedu/elements.html	D:/CT5/preview.colorlib.com/theme/universityedu/elements.html	(from https://preview.colorlib.com/theme/universityedu/index.html)
